Epoch,Tot_Epochs,Iter,Tot_Iters,loss,Elapsed_time,val0_tr1
3, 10, 220, 311, 0.3555, 1:11:29.144531, 1
3, 10, 230, 311, 0.3533, 1:12:16.197005, 1
3, 10, 240, 311, 0.3280, 1:13:03.108487, 1
3, 10, 250, 311, 0.3556, 1:13:50.356848, 1
3, 10, 260, 311, 0.3482, 1:14:37.057784, 1
3, 10, 270, 311, 0.2958, 1:15:23.896715, 1
3, 10, 280, 311, 0.3565, 1:16:10.707089, 1
3, 10, 290, 311, 0.3548, 1:16:57.823486, 1
3, 10, 300, 311, 0.3239, 1:17:44.764461, 1
3, 10, 310, 311, 0.3050, 1:18:32.126912, 1
3, 10, 10, 311, 0.2884, 1:18:52.417102, 0
3, 10, 20, 311, 0.3028, 1:19:08.399220, 0
3, 10, 30, 311, 0.2984, 1:19:24.426524, 0
3, 10, 40, 311, 0.2943, 1:19:40.496309, 0
3, 10, 50, 311, 0.2936, 1:19:56.566728, 0
3, 10, 60, 311, 0.2921, 1:20:12.715886, 0
3, 10, 70, 311, 0.2780, 1:20:28.726554, 0
3, 10, 80, 311, 0.2976, 1:20:44.698540, 0
3, 10, 90, 311, 0.2929, 1:21:00.710238, 0
3, 10, 100, 311, 0.2851, 1:21:16.704123, 0
3, 10, 110, 311, 0.2972, 1:21:32.678685, 0
4, 10, 10, 311, 0.3081, 1:22:34.688490, 1
4, 10, 20, 311, 0.3267, 1:23:22.253079, 1
4, 10, 30, 311, 0.3123, 1:24:09.221228, 1
4, 10, 40, 311, 0.3044, 1:24:56.257393, 1
4, 10, 50, 311, 0.3025, 1:25:43.072539, 1
4, 10, 60, 311, 0.2949, 1:26:29.908250, 1
4, 10, 70, 311, 0.2981, 1:27:16.883850, 1
4, 10, 80, 311, 0.2952, 1:28:03.969212, 1
4, 10, 90, 311, 0.2993, 1:28:50.881788, 1
4, 10, 100, 311, 0.2808, 1:29:37.592782, 1
4, 10, 110, 311, 0.2862, 1:30:24.442933, 1
4, 10, 120, 311, 0.2739, 1:31:11.037509, 1
4, 10, 130, 311, 0.2705, 1:31:58.007068, 1
4, 10, 140, 311, 0.2778, 1:32:45.028006, 1
4, 10, 150, 311, 0.2765, 1:33:32.216432, 1
4, 10, 160, 311, 0.2470, 1:34:19.178917, 1
4, 10, 170, 311, 0.2575, 1:35:05.969761, 1
4, 10, 180, 311, 0.2599, 1:35:52.774676, 1
4, 10, 190, 311, 0.2475, 1:36:39.841666, 1
4, 10, 200, 311, 0.2522, 1:37:26.778447, 1
4, 10, 210, 311, 0.2676, 1:38:18.379848, 1
4, 10, 220, 311, 0.2464, 1:39:12.904057, 1
4, 10, 230, 311, 0.2525, 1:40:07.173028, 1
4, 10, 240, 311, 0.2485, 1:41:01.274614, 1
4, 10, 250, 311, 0.2741, 1:41:55.972415, 1
4, 10, 260, 311, 0.2539, 1:42:50.696538, 1
4, 10, 270, 311, 0.2609, 1:43:45.795919, 1
4, 10, 280, 311, 0.2405, 1:44:40.637169, 1
4, 10, 290, 311, 0.2248, 1:45:35.292937, 1
4, 10, 300, 311, 0.2477, 1:46:29.907974, 1
4, 10, 310, 311, 0.2550, 1:47:25.096577, 1
4, 10, 10, 311, 0.2287, 1:47:54.813593, 0
4, 10, 20, 311, 0.2180, 1:48:18.377387, 0
4, 10, 30, 311, 0.2186, 1:48:41.847348, 0
4, 10, 40, 311, 0.2201, 1:49:06.516271, 0
4, 10, 50, 311, 0.2159, 1:49:32.025058, 0
4, 10, 60, 311, 0.2214, 1:49:57.722014, 0
4, 10, 70, 311, 0.2327, 1:50:23.015021, 0
4, 10, 80, 311, 0.2132, 1:50:50.999930, 0
4, 10, 90, 311, 0.2415, 1:51:17.194344, 0
4, 10, 100, 311, 0.2189, 1:51:44.856566, 0
4, 10, 110, 311, 0.2302, 1:52:11.541997, 0
5, 10, 10, 311, 0.2257, 1:53:30.447137, 1
5, 10, 20, 311, 0.2397, 1:54:24.973310, 1
5, 10, 30, 311, 0.2333, 1:55:19.879808, 1
5, 10, 40, 311, 0.2383, 1:56:14.544080, 1
5, 10, 50, 311, 0.2451, 1:57:09.225123, 1
5, 10, 60, 311, 0.2547, 1:58:04.038045, 1
5, 10, 70, 311, 0.2449, 1:58:59.429705, 1
5, 10, 80, 311, 0.2366, 1:59:54.870013, 1
5, 10, 90, 311, 0.2135, 2:00:52.614826, 1
5, 10, 100, 311, 0.2171, 2:01:49.764538, 1
5, 10, 110, 311, 0.2524, 2:02:45.950451, 1
5, 10, 120, 311, 0.2198, 2:03:41.982381, 1
5, 10, 130, 311, 0.2130, 2:04:38.380086, 1
5, 10, 140, 311, 0.2091, 2:05:35.092373, 1
5, 10, 150, 311, 0.2341, 2:06:31.930350, 1
5, 10, 160, 311, 0.2079, 2:07:28.669471, 1
5, 10, 170, 311, 0.2206, 2:08:25.380525, 1
5, 10, 180, 311, 0.2094, 2:09:22.175214, 1
5, 10, 190, 311, 0.2068, 2:10:19.021766, 1
5, 10, 200, 311, 0.1949, 2:11:15.748298, 1
5, 10, 210, 311, 0.2142, 2:12:12.771250, 1
5, 10, 220, 311, 0.2059, 2:13:15.164827, 1
5, 10, 230, 311, 0.1810, 2:14:20.940307, 1
5, 10, 240, 311, 0.1873, 2:15:24.803926, 1
5, 10, 250, 311, 0.1940, 2:16:25.298622, 1
5, 10, 260, 311, 0.1876, 2:17:25.740439, 1
5, 10, 270, 311, 0.2114, 2:18:26.149958, 1
5, 10, 280, 311, 0.2064, 2:19:26.322733, 1
5, 10, 290, 311, 0.1929, 2:20:26.436396, 1
