Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
1, 10, 10, 311, 0.7265, 0:00:45.768793, 1
1, 10, 20, 311, 0.7217, 0:01:31.029183, 1
1, 10, 30, 311, 0.7257, 0:02:16.093090, 1
1, 10, 40, 311, 0.7118, 0:03:01.148552, 1
1, 10, 50, 311, 0.7167, 0:03:46.176702, 1
1, 10, 60, 311, 0.7098, 0:04:31.080827, 1
1, 10, 70, 311, 0.6985, 0:05:15.912524, 1
1, 10, 80, 311, 0.6886, 0:06:01.206793, 1
1, 10, 90, 311, 0.6950, 0:06:45.959112, 1
1, 10, 100, 311, 0.6918, 0:07:30.888310, 1
1, 10, 110, 311, 0.6959, 0:08:15.942219, 1
1, 10, 120, 311, 0.6829, 0:09:00.822930, 1
1, 10, 130, 311, 0.6610, 0:09:45.769030, 1
1, 10, 140, 311, 0.6655, 0:10:30.709061, 1
1, 10, 150, 311, 0.6555, 0:11:15.716118, 1
1, 10, 160, 311, 0.6635, 0:12:00.657272, 1
1, 10, 170, 311, 0.6509, 0:12:45.814685, 1
1, 10, 180, 311, 0.6405, 0:13:31.060785, 1
1, 10, 190, 311, 0.6313, 0:14:15.968315, 1
1, 10, 200, 311, 0.6276, 0:15:00.948615, 1
1, 10, 210, 311, 0.6171, 0:15:46.016119, 1
1, 10, 220, 311, 0.6322, 0:16:31.121250, 1
1, 10, 230, 311, 0.6223, 0:17:16.135154, 1
1, 10, 240, 311, 0.6130, 0:18:01.248112, 1
1, 10, 250, 311, 0.6207, 0:18:46.243794, 1
1, 10, 260, 311, 0.6148, 0:19:31.247920, 1
1, 10, 270, 311, 0.6088, 0:20:17.418141, 1
1, 10, 280, 311, 0.5767, 0:21:05.117678, 1
1, 10, 290, 311, 0.5781, 0:21:52.970039, 1
1, 10, 300, 311, 0.5882, 0:22:41.015251, 1
1, 10, 310, 311, 0.5707, 0:23:28.917197, 1
1, 10, 10, 311, 0.5586, 0:23:49.509071, 0
1, 10, 20, 311, 0.5682, 0:24:05.743038, 0
1, 10, 30, 311, 0.5496, 0:24:22.103734, 0
1, 10, 40, 311, 0.5487, 0:24:38.395810, 0
1, 10, 50, 311, 0.5828, 0:24:54.798867, 0
1, 10, 60, 311, 0.5602, 0:25:11.302378, 0
1, 10, 70, 311, 0.5692, 0:25:27.752799, 0
1, 10, 80, 311, 0.5580, 0:25:44.206135, 0
1, 10, 90, 311, 0.5622, 0:26:00.624360, 0
1, 10, 100, 311, 0.5720, 0:26:17.068957, 0
1, 10, 110, 311, 0.5632, 0:26:33.373373, 0
2, 10, 10, 311, 0.5683, 0:27:36.629974, 1
2, 10, 20, 311, 0.5715, 0:28:24.654500, 1
2, 10, 30, 311, 0.5561, 0:29:12.506689, 1
2, 10, 40, 311, 0.5706, 0:29:59.954419, 1
2, 10, 50, 311, 0.5413, 0:30:47.821712, 1
2, 10, 60, 311, 0.5527, 0:31:35.340188, 1
2, 10, 70, 311, 0.5565, 0:32:22.688551, 1
2, 10, 80, 311, 0.5743, 0:33:10.247226, 1
