Epoch, Tot Epochs, Iter, Tot Iters, loss, Elapsed time, training=1/validation=0
3, 10, 220, 311, 0.1589, 1:11:26.270495, 1
3, 10, 230, 311, 0.1383, 1:12:13.524321, 1
3, 10, 240, 311, 0.1503, 1:13:00.620039, 1
3, 10, 250, 311, 0.1667, 1:13:47.951310, 1
3, 10, 260, 311, 0.1673, 1:14:35.030172, 1
3, 10, 270, 311, 0.1576, 1:15:21.561365, 1
3, 10, 280, 311, 0.1494, 1:16:08.483941, 1
3, 10, 290, 311, 0.1575, 1:16:55.630034, 1
3, 10, 300, 311, 0.1682, 1:17:42.506705, 1
3, 10, 310, 311, 0.1804, 1:18:29.715003, 1
3, 10, 10, 311, 0.1406, 1:18:50.032800, 0
3, 10, 20, 311, 0.1210, 1:19:06.080646, 0
3, 10, 30, 311, 0.1377, 1:19:22.262467, 0
3, 10, 40, 311, 0.1178, 1:19:38.330475, 0
3, 10, 50, 311, 0.1116, 1:19:54.447120, 0
3, 10, 60, 311, 0.1224, 1:20:10.611987, 0
3, 10, 70, 311, 0.1297, 1:20:26.739928, 0
3, 10, 80, 311, 0.1257, 1:20:42.693468, 0
3, 10, 90, 311, 0.1222, 1:20:58.730582, 0
3, 10, 100, 311, 0.1140, 1:21:15.038279, 0
3, 10, 110, 311, 0.1406, 1:21:31.144899, 0
4, 10, 10, 311, 0.1486, 1:22:33.528072, 1
4, 10, 20, 311, 0.1622, 1:23:21.277117, 1
4, 10, 30, 311, 0.1459, 1:24:08.340896, 1
4, 10, 40, 311, 0.1684, 1:24:55.160952, 1
4, 10, 50, 311, 0.1442, 1:25:41.806363, 1
4, 10, 60, 311, 0.1296, 1:26:28.767043, 1
4, 10, 70, 311, 0.1263, 1:27:15.731359, 1
4, 10, 80, 311, 0.1492, 1:28:03.023055, 1
4, 10, 90, 311, 0.1787, 1:28:50.453579, 1
4, 10, 100, 311, 0.1429, 1:29:37.501313, 1
4, 10, 110, 311, 0.1558, 1:30:24.343352, 1
4, 10, 120, 311, 0.1562, 1:31:11.423953, 1
4, 10, 130, 311, 0.1708, 1:31:58.530987, 1
4, 10, 140, 311, 0.1458, 1:32:45.638742, 1
4, 10, 150, 311, 0.1647, 1:33:32.898209, 1
4, 10, 160, 311, 0.1529, 1:34:19.765708, 1
4, 10, 170, 311, 0.1603, 1:35:06.621163, 1
4, 10, 180, 311, 0.1517, 1:35:53.765228, 1
4, 10, 190, 311, 0.1525, 1:36:40.959004, 1
4, 10, 200, 311, 0.1621, 1:37:28.074133, 1
4, 10, 210, 311, 0.1425, 1:38:15.223837, 1
4, 10, 220, 311, 0.1482, 1:39:02.038683, 1
4, 10, 230, 311, 0.1420, 1:39:49.149004, 1
4, 10, 240, 311, 0.1374, 1:40:36.022293, 1
4, 10, 250, 311, 0.1697, 1:41:23.401641, 1
4, 10, 260, 311, 0.1638, 1:42:10.508871, 1
4, 10, 270, 311, 0.1600, 1:42:57.566911, 1
4, 10, 280, 311, 0.1362, 1:43:44.607492, 1
4, 10, 290, 311, 0.1475, 1:44:31.329995, 1
4, 10, 300, 311, 0.1614, 1:45:18.376507, 1
4, 10, 310, 311, 0.1402, 1:46:05.509410, 1
4, 10, 10, 311, 0.1140, 1:46:25.765066, 0
4, 10, 20, 311, 0.1222, 1:46:41.948093, 0
4, 10, 30, 311, 0.1208, 1:46:58.143117, 0
4, 10, 40, 311, 0.1341, 1:47:14.411372, 0
4, 10, 50, 311, 0.1522, 1:47:30.591003, 0
4, 10, 60, 311, 0.1128, 1:47:46.746741, 0
4, 10, 70, 311, 0.1186, 1:48:02.896245, 0
4, 10, 80, 311, 0.1296, 1:48:19.044077, 0
4, 10, 90, 311, 0.1198, 1:48:35.153800, 0
4, 10, 100, 311, 0.1415, 1:48:51.331855, 0
4, 10, 110, 311, 0.1375, 1:49:07.494261, 0
5, 10, 10, 311, 0.1488, 1:50:09.833530, 1
5, 10, 20, 311, 0.1541, 1:50:57.399682, 1
5, 10, 30, 311, 0.1549, 1:51:44.654914, 1
5, 10, 40, 311, 0.1536, 1:52:31.676266, 1
5, 10, 50, 311, 0.1494, 1:53:18.931712, 1
5, 10, 60, 311, 0.1499, 1:54:06.030364, 1
5, 10, 70, 311, 0.1441, 1:54:53.105052, 1
5, 10, 80, 311, 0.1238, 1:55:40.125054, 1
5, 10, 90, 311, 0.1316, 1:56:27.333656, 1
5, 10, 100, 311, 0.1394, 1:57:14.432345, 1
5, 10, 110, 311, 0.1187, 1:58:01.809574, 1
5, 10, 120, 311, 0.1532, 1:58:49.124830, 1
5, 10, 130, 311, 0.1512, 1:59:41.199075, 1
5, 10, 140, 311, 0.1429, 2:00:35.889894, 1
5, 10, 150, 311, 0.1414, 2:01:30.789785, 1
5, 10, 160, 311, 0.1470, 2:02:25.602896, 1
5, 10, 170, 311, 0.1499, 2:03:20.549320, 1
5, 10, 180, 311, 0.1355, 2:04:15.655011, 1
5, 10, 190, 311, 0.1396, 2:05:10.624834, 1
5, 10, 200, 311, 0.1454, 2:06:05.950703, 1
5, 10, 210, 311, 0.1601, 2:07:01.061120, 1
5, 10, 220, 311, 0.1453, 2:07:56.809742, 1
5, 10, 230, 311, 0.1561, 2:08:52.054691, 1
5, 10, 240, 311, 0.1473, 2:09:47.579098, 1
5, 10, 250, 311, 0.1273, 2:10:43.013474, 1
5, 10, 260, 311, 0.1606, 2:11:38.447192, 1
5, 10, 270, 311, 0.1549, 2:12:34.091165, 1
5, 10, 280, 311, 0.1528, 2:13:30.075807, 1
5, 10, 290, 311, 0.1514, 2:14:26.053071, 1
5, 10, 300, 311, 0.1542, 2:15:21.602561, 1
5, 10, 310, 311, 0.1431, 2:16:17.757181, 1
5, 10, 10, 311, 0.1267, 2:16:48.182060, 0
5, 10, 20, 311, 0.1210, 2:17:12.272731, 0
5, 10, 30, 311, 0.1131, 2:17:38.913369, 0
5, 10, 40, 311, 0.1380, 2:18:02.523585, 0
5, 10, 50, 311, 0.1275, 2:18:26.144731, 0
5, 10, 60, 311, 0.1388, 2:18:49.855224, 0
5, 10, 70, 311, 0.1256, 2:19:13.636249, 0
5, 10, 80, 311, 0.1279, 2:19:37.349032, 0
5, 10, 90, 311, 0.1188, 2:20:01.218141, 0
5, 10, 100, 311, 0.1229, 2:20:25.417250, 0
5, 10, 110, 311, 0.1407, 2:20:50.382735, 0
6, 10, 10, 311, 0.1451, 2:22:08.576010, 1
6, 10, 20, 311, 0.1556, 2:23:03.964024, 1
6, 10, 30, 311, 0.1413, 2:23:59.331811, 1
6, 10, 40, 311, 0.1176, 2:24:54.678050, 1
6, 10, 50, 311, 0.1497, 2:25:50.048563, 1
6, 10, 60, 311, 0.1684, 2:26:45.083811, 1
6, 10, 70, 311, 0.1502, 2:27:40.191990, 1
6, 10, 80, 311, 0.1507, 2:28:35.809612, 1
6, 10, 90, 311, 0.1549, 2:29:31.269603, 1
6, 10, 100, 311, 0.1620, 2:30:26.925289, 1
6, 10, 110, 311, 0.1360, 2:31:22.300818, 1
6, 10, 120, 311, 0.1478, 2:32:17.969072, 1
6, 10, 130, 311, 0.1644, 2:33:13.625991, 1
6, 10, 140, 311, 0.1379, 2:34:09.741871, 1
6, 10, 150, 311, 0.1264, 2:35:05.971039, 1
6, 10, 160, 311, 0.1390, 2:36:01.670067, 1
6, 10, 170, 311, 0.1486, 2:36:57.705280, 1
6, 10, 180, 311, 0.1403, 2:37:53.947665, 1
6, 10, 190, 311, 0.1651, 2:38:50.243574, 1
6, 10, 200, 311, 0.1495, 2:39:46.508568, 1
6, 10, 210, 311, 0.1648, 2:40:42.453636, 1
6, 10, 220, 311, 0.1585, 2:41:38.618648, 1
6, 10, 230, 311, 0.1868, 2:42:34.748700, 1
6, 10, 240, 311, 0.1226, 2:43:31.137396, 1
6, 10, 250, 311, 0.1456, 2:44:27.217442, 1
6, 10, 260, 311, 0.1411, 2:45:23.485095, 1
6, 10, 270, 311, 0.1544, 2:46:19.694474, 1
6, 10, 280, 311, 0.1379, 2:47:15.640684, 1
6, 10, 290, 311, 0.1412, 2:48:11.892658, 1
6, 10, 300, 311, 0.1372, 2:49:07.941835, 1
6, 10, 310, 311, 0.1511, 2:50:04.455551, 1
6, 10, 10, 311, 0.1153, 2:50:40.209049, 0
6, 10, 20, 311, 0.1281, 2:51:09.830236, 0
6, 10, 30, 311, 0.1185, 2:51:39.316889, 0
6, 10, 40, 311, 0.1230, 2:52:10.327179, 0
6, 10, 50, 311, 0.1211, 2:52:39.188251, 0
6, 10, 60, 311, 0.1108, 2:53:09.336178, 0
6, 10, 70, 311, 0.1004, 2:53:40.027793, 0
6, 10, 80, 311, 0.1306, 2:54:09.048236, 0
6, 10, 90, 311, 0.1181, 2:54:39.646215, 0
6, 10, 100, 311, 0.1333, 2:55:09.588545, 0
6, 10, 110, 311, 0.1339, 2:55:39.430593, 0
7, 10, 10, 311, 0.1544, 2:57:01.406914, 1
7, 10, 20, 311, 0.1455, 2:57:56.676533, 1
7, 10, 30, 311, 0.1172, 2:58:51.889738, 1
7, 10, 40, 311, 0.1489, 2:59:46.830451, 1
7, 10, 50, 311, 0.1462, 3:00:41.998790, 1
7, 10, 60, 311, 0.1280, 3:01:36.926735, 1
7, 10, 70, 311, 0.1069, 3:02:32.548251, 1
7, 10, 80, 311, 0.1459, 3:03:28.079087, 1
7, 10, 90, 311, 0.1460, 3:04:23.488552, 1
7, 10, 100, 311, 0.1417, 3:05:18.791701, 1
7, 10, 110, 311, 0.1482, 3:06:14.376232, 1
7, 10, 120, 311, 0.1520, 3:07:10.318530, 1
7, 10, 130, 311, 0.1660, 3:08:06.282089, 1
